L	lambda	gamma	beta	log10_omega_bar	log10_chi	k	log10_kappa_1	log10_kappa_2
164	25.7	13.2	0.865	-2.29	-0.325	12.3	-4.79	2.44
164	25.7	10.5	0.836	-2.29	-0.325	12.3	-4.79	2.44
164	25.7	10.5	0.865	-2.01	-0.325	12.3	-4.79	2.44
164	25.7	10.5	0.865	-2.29	-0.653	12.3	-4.79	2.44
164	25.7	10.5	0.865	-2.29	-0.325	5.77	-4.79	2.44
164	25.7	10.5	0.865	-2.29	-0.325	12.3	-2.75	2.44
164	25.7	10.5	0.865	-2.29	-0.325	12.3	-4.79	2.34
164	39.6	13.2	0.836	-2.01	-0.653	5.77	-2.75	2.34
154	25.7	13.2	0.836	-2.01	-0.653	5.77	-2.75	2.34
154	39.6	10.5	0.836	-2.01	-0.653	5.77	-2.75	2.34
154	39.6	13.2	0.865	-2.01	-0.653	5.77	-2.75	2.34
154	39.6	13.2	0.836	-2.29	-0.653	5.77	-2.75	2.34
154	39.6	13.2	0.836	-2.01	-0.325	5.77	-2.75	2.34
154	39.6	13.2	0.836	-2.01	-0.653	12.3	-2.75	2.34
154	39.6	13.2	0.836	-2.01	-0.653	5.77	-4.79	2.34
154	39.6	13.2	0.836	-2.01	-0.653	5.77	-2.75	2.44
154	39.6	13.2	0.836	-2.01	-0.653	5.77	-2.75	2.34
200	18.1	8.47	0.833	-2.02	-0.811	23.5	-3.39	1.52
67.8	18.1	8.47	0.833	-2.02	-0.811	23.5	-3.39	1.52
200	8.78	8.47	0.833	-2.02	-0.811	23.5	-3.39	1.52
200	18.1	13.8	0.833	-2.02	-0.811	23.5	-3.39	1.52
200	18.1	8.47	0.876	-2.02	-0.811	23.5	-3.39	1.52
200	18.1	8.47	0.833	-2.73	-0.811	23.5	-3.39	1.52
200	18.1	8.47	0.833	-2.02	-0.887	23.5	-3.39	1.52
200	18.1	8.47	0.833	-2.02	-0.811	8.21	-3.39	1.52
200	18.1	8.47	0.833	-2.02	-0.811	23.5	-3.3	1.52
200	18.1	8.47	0.833	-2.02	-0.811	23.5	-3.39	2.21
200	8.78	13.8	0.876	-2.73	-0.887	8.21	-3.3	2.21
67.8	18.1	13.8	0.876	-2.73	-0.887	8.21	-3.3	2.21
67.8	8.78	8.47	0.876	-2.73	-0.887	8.21	-3.3	2.21
67.8	8.78	13.8	0.833	-2.73	-0.887	8.21	-3.3	2.21
67.8	8.78	13.8	0.876	-2.02	-0.887	8.21	-3.3	2.21
67.8	8.78	13.8	0.876	-2.73	-0.811	8.21	-3.3	2.21
67.8	8.78	13.8	0.876	-2.73	-0.887	23.5	-3.3	2.21
67.8	8.78	13.8	0.876	-2.73	-0.887	8.21	-3.39	2.21
67.8	8.78	13.8	0.876	-2.73	-0.887	8.21	-3.3	1.52
67.8	8.78	13.8	0.876	-2.73	-0.887	8.21	-3.3	2.21
39.9	30.4	14.2	0.876	-3.59	-1.29	12.7	-4.38	2.13
174	30.4	14.2	0.876	-3.59	-1.29	12.7	-4.38	2.13
39.9	32.4	14.2	0.876	-3.59	-1.29	12.7	-4.38	2.13
39.9	30.4	9.8	0.876	-3.59	-1.29	12.7	-4.38	2.13
39.9	30.4	14.2	0.861	-3.59	-1.29	12.7	-4.38	2.13
39.9	30.4	14.2	0.876	-3.91	-1.29	12.7	-4.38	2.13
39.9	30.4	14.2	0.876	-3.59	-1.24	12.7	-4.38	2.13
39.9	30.4	14.2	0.876	-3.59	-1.29	18.3	-4.38	2.13
39.9	30.4	14.2	0.876	-3.59	-1.29	12.7	-3.84	2.13
39.9	30.4	14.2	0.876	-3.59	-1.29	12.7	-4.38	1.07
39.9	32.4	9.8	0.861	-3.91	-1.24	18.3	-3.84	1.07
174	30.4	9.8	0.861	-3.91	-1.24	18.3	-3.84	1.07
174	32.4	14.2	0.861	-3.91	-1.24	18.3	-3.84	1.07
174	32.4	9.8	0.876	-3.91	-1.24	18.3	-3.84	1.07
174	32.4	9.8	0.861	-3.59	-1.24	18.3	-3.84	1.07
174	32.4	9.8	0.861	-3.91	-1.29	18.3	-3.84	1.07
174	32.4	9.8	0.861	-3.91	-1.24	12.7	-3.84	1.07
174	32.4	9.8	0.861	-3.91	-1.24	18.3	-4.38	1.07
174	32.4	9.8	0.861	-3.91	-1.24	18.3	-3.84	2.13
174	32.4	9.8	0.861	-3.91	-1.24	18.3	-3.84	1.07
82.3	5.43	11.2	0.775	-3.19	-1.6	19.6	-3.86	2.54
126	5.43	11.2	0.775	-3.19	-1.6	19.6	-3.86	2.54
82.3	26.1	11.2	0.775	-3.19	-1.6	19.6	-3.86	2.54
82.3	5.43	8.05	0.775	-3.19	-1.6	19.6	-3.86	2.54
82.3	5.43	11.2	0.959	-3.19	-1.6	19.6	-3.86	2.54
82.3	5.43	11.2	0.775	-2.47	-1.6	19.6	-3.86	2.54
82.3	5.43	11.2	0.775	-3.19	-1.54	19.6	-3.86	2.54
82.3	5.43	11.2	0.775	-3.19	-1.6	13.1	-3.86	2.54
82.3	5.43	11.2	0.775	-3.19	-1.6	19.6	-4.35	2.54
82.3	5.43	11.2	0.775	-3.19	-1.6	19.6	-3.86	2.74
82.3	26.1	8.05	0.959	-2.47	-1.54	13.1	-4.35	2.74
126	5.43	8.05	0.959	-2.47	-1.54	13.1	-4.35	2.74
126	26.1	11.2	0.959	-2.47	-1.54	13.1	-4.35	2.74
126	26.1	8.05	0.775	-2.47	-1.54	13.1	-4.35	2.74
126	26.1	8.05	0.959	-3.19	-1.54	13.1	-4.35	2.74
126	26.1	8.05	0.959	-2.47	-1.6	13.1	-4.35	2.74
126	26.1	8.05	0.959	-2.47	-1.54	19.6	-4.35	2.74
126	26.1	8.05	0.959	-2.47	-1.54	13.1	-3.86	2.74
126	26.1	8.05	0.959	-2.47	-1.54	13.1	-4.35	2.54
126	26.1	8.05	0.959	-2.47	-1.54	13.1	-4.35	2.74
152	36.4	16.8	0.95	-2.63	-0.11	9.19	-2.4	1.18
26.6	36.4	16.8	0.95	-2.63	-0.11	9.19	-2.4	1.18
152	15.1	16.8	0.95	-2.63	-0.11	9.19	-2.4	1.18
152	36.4	16.4	0.95	-2.63	-0.11	9.19	-2.4	1.18
152	36.4	16.8	0.788	-2.63	-0.11	9.19	-2.4	1.18
152	36.4	16.8	0.95	-3.17	-0.11	9.19	-2.4	1.18
152	36.4	16.8	0.95	-2.63	-0.329	9.19	-2.4	1.18
152	36.4	16.8	0.95	-2.63	-0.11	23.1	-2.4	1.18
152	36.4	16.8	0.95	-2.63	-0.11	9.19	-2.69	1.18
152	36.4	16.8	0.95	-2.63	-0.11	9.19	-2.4	1.6
152	15.1	16.4	0.788	-3.17	-0.329	23.1	-2.69	1.6
26.6	36.4	16.4	0.788	-3.17	-0.329	23.1	-2.69	1.6
26.6	15.1	16.8	0.788	-3.17	-0.329	23.1	-2.69	1.6
26.6	15.1	16.4	0.95	-3.17	-0.329	23.1	-2.69	1.6
26.6	15.1	16.4	0.788	-2.63	-0.329	23.1	-2.69	1.6
26.6	15.1	16.4	0.788	-3.17	-0.11	23.1	-2.69	1.6
26.6	15.1	16.4	0.788	-3.17	-0.329	9.19	-2.69	1.6
26.6	15.1	16.4	0.788	-3.17	-0.329	23.1	-2.4	1.6
26.6	15.1	16.4	0.788	-3.17	-0.329	23.1	-2.69	1.18
26.6	15.1	16.4	0.788	-3.17	-0.329	23.1	-2.69	1.6
139	19.3	11.8	0.904	-3.25	-0.424	24.3	-3.21	1.73
133	19.3	11.8	0.904	-3.25	-0.424	24.3	-3.21	1.73
139	16.1	11.8	0.904	-3.25	-0.424	24.3	-3.21	1.73
139	19.3	15.4	0.904	-3.25	-0.424	24.3	-3.21	1.73
139	19.3	11.8	0.847	-3.25	-0.424	24.3	-3.21	1.73
139	19.3	11.8	0.904	-2.26	-0.424	24.3	-3.21	1.73
139	19.3	11.8	0.904	-3.25	-1.34	24.3	-3.21	1.73
139	19.3	11.8	0.904	-3.25	-0.424	9.12	-3.21	1.73
139	19.3	11.8	0.904	-3.25	-0.424	24.3	-4.04	1.73
139	19.3	11.8	0.904	-3.25	-0.424	24.3	-3.21	2.49
139	16.1	15.4	0.847	-2.26	-1.34	9.12	-4.04	2.49
133	19.3	15.4	0.847	-2.26	-1.34	9.12	-4.04	2.49
133	16.1	11.8	0.847	-2.26	-1.34	9.12	-4.04	2.49
133	16.1	15.4	0.904	-2.26	-1.34	9.12	-4.04	2.49
133	16.1	15.4	0.847	-3.25	-1.34	9.12	-4.04	2.49
133	16.1	15.4	0.847	-2.26	-0.424	9.12	-4.04	2.49
133	16.1	15.4	0.847	-2.26	-1.34	24.3	-4.04	2.49
133	16.1	15.4	0.847	-2.26	-1.34	9.12	-3.21	2.49
133	16.1	15.4	0.847	-2.26	-1.34	9.12	-4.04	1.73
133	16.1	15.4	0.847	-2.26	-1.34	9.12	-4.04	2.49
73.2	24.4	16.1	0.82	-2.81	-1.91	14.5	-4.57	2.12
64.8	24.4	16.1	0.82	-2.81	-1.91	14.5	-4.57	2.12
73.2	22.8	16.1	0.82	-2.81	-1.91	14.5	-4.57	2.12
73.2	24.4	9.5	0.82	-2.81	-1.91	14.5	-4.57	2.12
73.2	24.4	16.1	0.891	-2.81	-1.91	14.5	-4.57	2.12
73.2	24.4	16.1	0.82	-3.08	-1.91	14.5	-4.57	2.12
73.2	24.4	16.1	0.82	-2.81	-0.537	14.5	-4.57	2.12
73.2	24.4	16.1	0.82	-2.81	-1.91	19.1	-4.57	2.12
73.2	24.4	16.1	0.82	-2.81	-1.91	14.5	-3.08	2.12
73.2	24.4	16.1	0.82	-2.81	-1.91	14.5	-4.57	1.34
73.2	22.8	9.5	0.891	-3.08	-0.537	19.1	-3.08	1.34
64.8	24.4	9.5	0.891	-3.08	-0.537	19.1	-3.08	1.34
64.8	22.8	16.1	0.891	-3.08	-0.537	19.1	-3.08	1.34
64.8	22.8	9.5	0.82	-3.08	-0.537	19.1	-3.08	1.34
64.8	22.8	9.5	0.891	-2.81	-0.537	19.1	-3.08	1.34
64.8	22.8	9.5	0.891	-3.08	-1.91	19.1	-3.08	1.34
64.8	22.8	9.5	0.891	-3.08	-0.537	14.5	-3.08	1.34
64.8	22.8	9.5	0.891	-3.08	-0.537	19.1	-4.57	1.34
64.8	22.8	9.5	0.891	-3.08	-0.537	19.1	-3.08	2.12
64.8	22.8	9.5	0.891	-3.08	-0.537	19.1	-3.08	1.34
30.8	12.2	9.05	0.955	-2.46	-1.23	17.6	-3.67	2.71
101	12.2	9.05	0.955	-2.46	-1.23	17.6	-3.67	2.71
30.8	33.5	9.05	0.955	-2.46	-1.23	17.6	-3.67	2.71
30.8	12.2	10.9	0.955	-2.46	-1.23	17.6	-3.67	2.71
30.8	12.2	9.05	0.804	-2.46	-1.23	17.6	-3.67	2.71
30.8	12.2	9.05	0.955	-2.51	-1.23	17.6	-3.67	2.71
30.8	12.2	9.05	0.955	-2.46	-0.243	17.6	-3.67	2.71
30.8	12.2	9.05	0.955	-2.46	-1.23	14.6	-3.67	2.71
30.8	12.2	9.05	0.955	-2.46	-1.23	17.6	-2.12	2.71
30.8	12.2	9.05	0.955	-2.46	-1.23	17.6	-3.67	2.96
30.8	33.5	10.9	0.804	-2.51	-0.243	14.6	-2.12	2.96
101	12.2	10.9	0.804	-2.51	-0.243	14.6	-2.12	2.96
101	33.5	9.05	0.804	-2.51	-0.243	14.6	-2.12	2.96
101	33.5	10.9	0.955	-2.51	-0.243	14.6	-2.12	2.96
101	33.5	10.9	0.804	-2.46	-0.243	14.6	-2.12	2.96
101	33.5	10.9	0.804	-2.51	-1.23	14.6	-2.12	2.96
101	33.5	10.9	0.804	-2.51	-0.243	17.6	-2.12	2.96
101	33.5	10.9	0.804	-2.51	-0.243	14.6	-3.67	2.96
101	33.5	10.9	0.804	-2.51	-0.243	14.6	-2.12	2.71
101	33.5	10.9	0.804	-2.51	-0.243	14.6	-2.12	2.96
186	33.7	13.5	0.754	-3.9	-0.746	8.61	-2.59	1.08
187	33.7	13.5	0.754	-3.9	-0.746	8.61	-2.59	1.08
186	5.47	13.5	0.754	-3.9	-0.746	8.61	-2.59	1.08
186	33.7	12.3	0.754	-3.9	-0.746	8.61	-2.59	1.08
186	33.7	13.5	0.943	-3.9	-0.746	8.61	-2.59	1.08
186	33.7	13.5	0.754	-3.82	-0.746	8.61	-2.59	1.08
186	33.7	13.5	0.754	-3.9	-1.88	8.61	-2.59	1.08
186	33.7	13.5	0.754	-3.9	-0.746	24.6	-2.59	1.08
186	33.7	13.5	0.754	-3.9	-0.746	8.61	-4.95	1.08
186	33.7	13.5	0.754	-3.9	-0.746	8.61	-2.59	1.82
186	5.47	12.3	0.943	-3.82	-1.88	24.6	-4.95	1.82
187	33.7	12.3	0.943	-3.82	-1.88	24.6	-4.95	1.82
187	5.47	13.5	0.943	-3.82	-1.88	24.6	-4.95	1.82
187	5.47	12.3	0.754	-3.82	-1.88	24.6	-4.95	1.82
187	5.47	12.3	0.943	-3.9	-1.88	24.6	-4.95	1.82
187	5.47	12.3	0.943	-3.82	-0.746	24.6	-4.95	1.82
187	5.47	12.3	0.943	-3.82	-1.88	8.61	-4.95	1.82
187	5.47	12.3	0.943	-3.82	-1.88	24.6	-2.59	1.82
187	5.47	12.3	0.943	-3.82	-1.88	24.6	-4.95	1.08
187	5.47	12.3	0.943	-3.82	-1.88	24.6	-4.95	1.82
176	8.6	15.6	0.785	-3.67	-0.14	17.4	-3.97	2.9
36.8	8.6	15.6	0.785	-3.67	-0.14	17.4	-3.97	2.9
176	36.2	15.6	0.785	-3.67	-0.14	17.4	-3.97	2.9
176	8.6	14.3	0.785	-3.67	-0.14	17.4	-3.97	2.9
176	8.6	15.6	0.779	-3.67	-0.14	17.4	-3.97	2.9
176	8.6	15.6	0.785	-3.41	-0.14	17.4	-3.97	2.9
176	8.6	15.6	0.785	-3.67	-1.64	17.4	-3.97	2.9
176	8.6	15.6	0.785	-3.67	-0.14	22.1	-3.97	2.9
176	8.6	15.6	0.785	-3.67	-0.14	17.4	-4.49	2.9
176	8.6	15.6	0.785	-3.67	-0.14	17.4	-3.97	1.7
176	36.2	14.3	0.779	-3.41	-1.64	22.1	-4.49	1.7
36.8	8.6	14.3	0.779	-3.41	-1.64	22.1	-4.49	1.7
36.8	36.2	15.6	0.779	-3.41	-1.64	22.1	-4.49	1.7
36.8	36.2	14.3	0.785	-3.41	-1.64	22.1	-4.49	1.7
36.8	36.2	14.3	0.779	-3.67	-1.64	22.1	-4.49	1.7
36.8	36.2	14.3	0.779	-3.41	-0.14	22.1	-4.49	1.7
36.8	36.2	14.3	0.779	-3.41	-1.64	17.4	-4.49	1.7
36.8	36.2	14.3	0.779	-3.41	-1.64	22.1	-3.97	1.7
36.8	36.2	14.3	0.779	-3.41	-1.64	22.1	-4.49	2.9
36.8	36.2	14.3	0.779	-3.41	-1.64	22.1	-4.49	1.7
63	39.6	9.86	0.986	-2.23	-1.65	6.4	-2.24	1.26
116	39.6	9.86	0.986	-2.23	-1.65	6.4	-2.24	1.26
63	12.5	9.86	0.986	-2.23	-1.65	6.4	-2.24	1.26
63	39.6	10.1	0.986	-2.23	-1.65	6.4	-2.24	1.26
63	39.6	9.86	0.983	-2.23	-1.65	6.4	-2.24	1.26
63	39.6	9.86	0.986	-2.23	-1.65	6.4	-2.24	1.26
63	39.6	9.86	0.986	-2.23	-0.477	6.4	-2.24	1.26
63	39.6	9.86	0.986	-2.23	-1.65	12.1	-2.24	1.26
63	39.6	9.86	0.986	-2.23	-1.65	6.4	-2.46	1.26
63	39.6	9.86	0.986	-2.23	-1.65	6.4	-2.24	2.59
63	12.5	10.1	0.983	-2.23	-0.477	12.1	-2.46	2.59
116	39.6	10.1	0.983	-2.23	-0.477	12.1	-2.46	2.59
116	12.5	9.86	0.983	-2.23	-0.477	12.1	-2.46	2.59
116	12.5	10.1	0.986	-2.23	-0.477	12.1	-2.46	2.59
116	12.5	10.1	0.983	-2.23	-0.477	12.1	-2.46	2.59
116	12.5	10.1	0.983	-2.23	-1.65	12.1	-2.46	2.59
116	12.5	10.1	0.983	-2.23	-0.477	6.4	-2.46	2.59
116	12.5	10.1	0.983	-2.23	-0.477	12.1	-2.24	2.59
116	12.5	10.1	0.983	-2.23	-0.477	12.1	-2.46	1.26
116	12.5	10.1	0.983	-2.23	-0.477	12.1	-2.46	2.59
106	14.6	12.8	0.852	-2.62	-1.46	20.7	-2.77	1.92
159	14.6	12.8	0.852	-2.62	-1.46	20.7	-2.77	1.92
106	18.8	12.8	0.852	-2.62	-1.46	20.7	-2.77	1.92
106	14.6	7.55	0.852	-2.62	-1.46	20.7	-2.77	1.92
106	14.6	12.8	0.821	-2.62	-1.46	20.7	-2.77	1.92
106	14.6	12.8	0.852	-3.67	-1.46	20.7	-2.77	1.92
106	14.6	12.8	0.852	-2.62	-0.801	20.7	-2.77	1.92
106	14.6	12.8	0.852	-2.62	-1.46	16.6	-2.77	1.92
106	14.6	12.8	0.852	-2.62	-1.46	20.7	-3.35	1.92
106	14.6	12.8	0.852	-2.62	-1.46	20.7	-2.77	1.23
106	18.8	7.55	0.821	-3.67	-0.801	16.6	-3.35	1.23
159	14.6	7.55	0.821	-3.67	-0.801	16.6	-3.35	1.23
159	18.8	12.8	0.821	-3.67	-0.801	16.6	-3.35	1.23
159	18.8	7.55	0.852	-3.67	-0.801	16.6	-3.35	1.23
159	18.8	7.55	0.821	-2.62	-0.801	16.6	-3.35	1.23
159	18.8	7.55	0.821	-3.67	-1.46	16.6	-3.35	1.23
159	18.8	7.55	0.821	-3.67	-0.801	20.7	-3.35	1.23
159	18.8	7.55	0.821	-3.67	-0.801	16.6	-2.77	1.23
159	18.8	7.55	0.821	-3.67	-0.801	16.6	-3.35	1.92
159	18.8	7.55	0.821	-3.67	-0.801	16.6	-3.35	1.23
129	27	7.28	0.935	-3.06	-0.939	10.5	-4.97	2.3
83.6	27	7.28	0.935	-3.06	-0.939	10.5	-4.97	2.3
129	29.9	7.28	0.935	-3.06	-0.939	10.5	-4.97	2.3
129	27	16.1	0.935	-3.06	-0.939	10.5	-4.97	2.3
129	27	7.28	0.932	-3.06	-0.939	10.5	-4.97	2.3
129	27	7.28	0.935	-2.97	-0.939	10.5	-4.97	2.3
129	27	7.28	0.935	-3.06	-1.08	10.5	-4.97	2.3
129	27	7.28	0.935	-3.06	-0.939	6.58	-4.97	2.3
129	27	7.28	0.935	-3.06	-0.939	10.5	-3.51	2.3
129	27	7.28	0.935	-3.06	-0.939	10.5	-4.97	2.12
129	29.9	16.1	0.932	-2.97	-1.08	6.58	-3.51	2.12
83.6	27	16.1	0.932	-2.97	-1.08	6.58	-3.51	2.12
83.6	29.9	7.28	0.932	-2.97	-1.08	6.58	-3.51	2.12
83.6	29.9	16.1	0.935	-2.97	-1.08	6.58	-3.51	2.12
83.6	29.9	16.1	0.932	-3.06	-1.08	6.58	-3.51	2.12
83.6	29.9	16.1	0.932	-2.97	-0.939	6.58	-3.51	2.12
83.6	29.9	16.1	0.932	-2.97	-1.08	10.5	-3.51	2.12
83.6	29.9	16.1	0.932	-2.97	-1.08	6.58	-4.97	2.12
83.6	29.9	16.1	0.932	-2.97	-1.08	6.58	-3.51	2.3
83.6	29.9	16.1	0.932	-2.97	-1.08	6.58	-3.51	2.12
128	18.9	13.1	0.823	-3.75	-0.0811	13.6	-4.81	2.66
163	18.9	13.1	0.823	-3.75	-0.0811	13.6	-4.81	2.66
128	20.6	13.1	0.823	-3.75	-0.0811	13.6	-4.81	2.66
128	18.9	8.19	0.823	-3.75	-0.0811	13.6	-4.81	2.66
128	18.9	13.1	0.802	-3.75	-0.0811	13.6	-4.81	2.66
128	18.9	13.1	0.823	-2.24	-0.0811	13.6	-4.81	2.66
128	18.9	13.1	0.823	-3.75	-0.957	13.6	-4.81	2.66
128	18.9	13.1	0.823	-3.75	-0.0811	12.5	-4.81	2.66
128	18.9	13.1	0.823	-3.75	-0.0811	13.6	-2.23	2.66
128	18.9	13.1	0.823	-3.75	-0.0811	13.6	-4.81	2.36
128	20.6	8.19	0.802	-2.24	-0.957	12.5	-2.23	2.36
163	18.9	8.19	0.802	-2.24	-0.957	12.5	-2.23	2.36
163	20.6	13.1	0.802	-2.24	-0.957	12.5	-2.23	2.36
163	20.6	8.19	0.823	-2.24	-0.957	12.5	-2.23	2.36
163	20.6	8.19	0.802	-3.75	-0.957	12.5	-2.23	2.36
163	20.6	8.19	0.802	-2.24	-0.0811	12.5	-2.23	2.36
163	20.6	8.19	0.802	-2.24	-0.957	13.6	-2.23	2.36
163	20.6	8.19	0.802	-2.24	-0.957	12.5	-4.81	2.36
163	20.6	8.19	0.802	-2.24	-0.957	12.5	-2.23	2.66
163	20.6	8.19	0.802	-2.24	-0.957	12.5	-2.23	2.36
107	23	7.38	0.905	-2.32	-1.57	22.6	-2.98	1.01
79.5	23	7.38	0.905	-2.32	-1.57	22.6	-2.98	1.01
107	27.3	7.38	0.905	-2.32	-1.57	22.6	-2.98	1.01
107	23	16.5	0.905	-2.32	-1.57	22.6	-2.98	1.01
107	23	7.38	0.945	-2.32	-1.57	22.6	-2.98	1.01
107	23	7.38	0.905	-3.44	-1.57	22.6	-2.98	1.01
107	23	7.38	0.905	-2.32	-1.17	22.6	-2.98	1.01
107	23	7.38	0.905	-2.32	-1.57	22.5	-2.98	1.01
107	23	7.38	0.905	-2.32	-1.57	22.6	-4.64	1.01
107	23	7.38	0.905	-2.32	-1.57	22.6	-2.98	1.47
107	27.3	16.5	0.945	-3.44	-1.17	22.5	-4.64	1.47
79.5	23	16.5	0.945	-3.44	-1.17	22.5	-4.64	1.47
79.5	27.3	7.38	0.945	-3.44	-1.17	22.5	-4.64	1.47
79.5	27.3	16.5	0.905	-3.44	-1.17	22.5	-4.64	1.47
79.5	27.3	16.5	0.945	-2.32	-1.17	22.5	-4.64	1.47
79.5	27.3	16.5	0.945	-3.44	-1.57	22.5	-4.64	1.47
79.5	27.3	16.5	0.945	-3.44	-1.17	22.6	-4.64	1.47
79.5	27.3	16.5	0.945	-3.44	-1.17	22.5	-2.98	1.47
79.5	27.3	16.5	0.945	-3.44	-1.17	22.5	-4.64	1.01
79.5	27.3	16.5	0.945	-3.44	-1.17	22.5	-4.64	1.47
64.4	12.8	15.3	0.757	-2.96	-1.26	9.46	-2.07	1.67
38.1	12.8	15.3	0.757	-2.96	-1.26	9.46	-2.07	1.67
64.4	37.9	15.3	0.757	-2.96	-1.26	9.46	-2.07	1.67
64.4	12.8	13.6	0.757	-2.96	-1.26	9.46	-2.07	1.67
64.4	12.8	15.3	0.844	-2.96	-1.26	9.46	-2.07	1.67
64.4	12.8	15.3	0.757	-3	-1.26	9.46	-2.07	1.67
64.4	12.8	15.3	0.757	-2.96	-1.62	9.46	-2.07	1.67
64.4	12.8	15.3	0.757	-2.96	-1.26	6.33	-2.07	1.67
64.4	12.8	15.3	0.757	-2.96	-1.26	9.46	-4.12	1.67
64.4	12.8	15.3	0.757	-2.96	-1.26	9.46	-2.07	2.83
64.4	37.9	13.6	0.844	-3	-1.62	6.33	-4.12	2.83
38.1	12.8	13.6	0.844	-3	-1.62	6.33	-4.12	2.83
38.1	37.9	15.3	0.844	-3	-1.62	6.33	-4.12	2.83
38.1	37.9	13.6	0.757	-3	-1.62	6.33	-4.12	2.83
38.1	37.9	13.6	0.844	-2.96	-1.62	6.33	-4.12	2.83
38.1	37.9	13.6	0.844	-3	-1.26	6.33	-4.12	2.83
38.1	37.9	13.6	0.844	-3	-1.62	9.46	-4.12	2.83
38.1	37.9	13.6	0.844	-3	-1.62	6.33	-2.07	2.83
38.1	37.9	13.6	0.844	-3	-1.62	6.33	-4.12	1.67
38.1	37.9	13.6	0.844	-3	-1.62	6.33	-4.12	2.83
175	35.6	9.8	0.956	-3.39	-0.778	19.3	-4.18	2.06
115	35.6	9.8	0.956	-3.39	-0.778	19.3	-4.18	2.06
175	9.9	9.8	0.956	-3.39	-0.778	19.3	-4.18	2.06
175	35.6	9.62	0.956	-3.39	-0.778	19.3	-4.18	2.06
175	35.6	9.8	0.893	-3.39	-0.778	19.3	-4.18	2.06
175	35.6	9.8	0.956	-3.68	-0.778	19.3	-4.18	2.06
175	35.6	9.8	0.956	-3.39	-0.265	19.3	-4.18	2.06
175	35.6	9.8	0.956	-3.39	-0.778	16.4	-4.18	2.06
175	35.6	9.8	0.956	-3.39	-0.778	19.3	-2.83	2.06
175	35.6	9.8	0.956	-3.39	-0.778	19.3	-4.18	1.94
175	9.9	9.62	0.893	-3.68	-0.265	16.4	-2.83	1.94
115	35.6	9.62	0.893	-3.68	-0.265	16.4	-2.83	1.94
115	9.9	9.8	0.893	-3.68	-0.265	16.4	-2.83	1.94
115	9.9	9.62	0.956	-3.68	-0.265	16.4	-2.83	1.94
115	9.9	9.62	0.893	-3.39	-0.265	16.4	-2.83	1.94
115	9.9	9.62	0.893	-3.68	-0.778	16.4	-2.83	1.94
115	9.9	9.62	0.893	-3.68	-0.265	19.3	-2.83	1.94
115	9.9	9.62	0.893	-3.68	-0.265	16.4	-4.18	1.94
115	9.9	9.62	0.893	-3.68	-0.265	16.4	-2.83	2.06
115	9.9	9.62	0.893	-3.68	-0.265	16.4	-2.83	1.94
188	8.25	9.29	0.987	-3.17	-0.358	5.53	-2.38	1.98
108	8.25	9.29	0.987	-3.17	-0.358	5.53	-2.38	1.98
188	31.9	9.29	0.987	-3.17	-0.358	5.53	-2.38	1.98
188	8.25	11.4	0.987	-3.17	-0.358	5.53	-2.38	1.98
188	8.25	9.29	0.822	-3.17	-0.358	5.53	-2.38	1.98
188	8.25	9.29	0.987	-3.08	-0.358	5.53	-2.38	1.98
188	8.25	9.29	0.987	-3.17	-0.0294	5.53	-2.38	1.98
188	8.25	9.29	0.987	-3.17	-0.358	18.8	-2.38	1.98
188	8.25	9.29	0.987	-3.17	-0.358	5.53	-3.24	1.98
188	8.25	9.29	0.987	-3.17	-0.358	5.53	-2.38	1.58
188	31.9	11.4	0.822	-3.08	-0.0294	18.8	-3.24	1.58
108	8.25	11.4	0.822	-3.08	-0.0294	18.8	-3.24	1.58
108	31.9	9.29	0.822	-3.08	-0.0294	18.8	-3.24	1.58
108	31.9	11.4	0.987	-3.08	-0.0294	18.8	-3.24	1.58
108	31.9	11.4	0.822	-3.17	-0.0294	18.8	-3.24	1.58
108	31.9	11.4	0.822	-3.08	-0.358	18.8	-3.24	1.58
108	31.9	11.4	0.822	-3.08	-0.0294	5.53	-3.24	1.58
108	31.9	11.4	0.822	-3.08	-0.0294	18.8	-2.38	1.58
108	31.9	11.4	0.822	-3.08	-0.0294	18.8	-3.24	1.98
108	31.9	11.4	0.822	-3.08	-0.0294	18.8	-3.24	1.58
29.4	38	13.6	0.788	-2.73	-1.87	15.7	-3.84	2.37
180	38	13.6	0.788	-2.73	-1.87	15.7	-3.84	2.37
29.4	8.23	13.6	0.788	-2.73	-1.87	15.7	-3.84	2.37
29.4	38	13.1	0.788	-2.73	-1.87	15.7	-3.84	2.37
29.4	38	13.6	0.93	-2.73	-1.87	15.7	-3.84	2.37
29.4	38	13.6	0.788	-2.28	-1.87	15.7	-3.84	2.37
29.4	38	13.6	0.788	-2.73	-1.85	15.7	-3.84	2.37
29.4	38	13.6	0.788	-2.73	-1.87	8.91	-3.84	2.37
29.4	38	13.6	0.788	-2.73	-1.87	15.7	-3.82	2.37
29.4	38	13.6	0.788	-2.73	-1.87	15.7	-3.84	2.71
29.4	8.23	13.1	0.93	-2.28	-1.85	8.91	-3.82	2.71
180	38	13.1	0.93	-2.28	-1.85	8.91	-3.82	2.71
180	8.23	13.6	0.93	-2.28	-1.85	8.91	-3.82	2.71
180	8.23	13.1	0.788	-2.28	-1.85	8.91	-3.82	2.71
